year,group,team
2026,A,Mexico
2026,A,South Africa
2026,A,South Korea
2026,A,Czechia
2026,B,Canada
2026,B,Bosnia and Herzegovina
2026,B,Qatar
2026,B,Switzerland
2026,C,Brazil
2026,C,Morocco
2026,C,Haiti
2026,C,Scotland
2026,D,United States
2026,D,Paraguay
2026,D,Australia
2026,D,Türkiye
2026,E,Germany
2026,E,Curaçao
2026,E,Ivory Coast
2026,E,Ecuador
2026,F,Netherlands
2026,F,Japan
2026,F,Sweden
2026,F,Tunisia
2026,G,Belgium
2026,G,Egypt
2026,G,Iran
2026,G,New Zealand
2026,H,Spain
2026,H,Cape Verde
2026,H,Saudi Arabia
2026,H,Uruguay
2026,I,France
2026,I,Senegal
2026,I,Iraq
2026,I,Norway
2026,J,Argentina
2026,J,Algeria
2026,J,Austria
2026,J,Jordan
2026,K,Portugal
2026,K,DR Congo
2026,K,Uzbekistan
2026,K,Colombia
2026,L,England
2026,L,Croatia
2026,L,Ghana
2026,L,Panama
